url, status, wildcard, content-length, line-count, word-count, headers-x-content-type-options, x-xss-protection, headers-server, headers-connection, headers-access-control-allow-origin
http://localhost:8000/docs, 200 OK, false, 964, 31, 62, None, None, Some("uvicorn"), None, None
http://localhost:8000/static, 307 Temporary Redirect, false, 0, 0, 0, None, None, Some("uvicorn"), None, None
